,ONTOLOGY,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0009653,BP,GO:0009653,anatomical structure morphogenesis,224,0.355157313,1.662874925,4.36E-05,0.006086645,0.005950301,294,"tags=33%, list=23%, signal=31%",CXCL9/LAP3/TYMP/CCN2/FN1/ACTA2/CRABP2/JUNB/NR2F2/HUWE1/RPS6KA1/MYL9/CDC73/FLNA/MYADM/ANXA2/IST1/RHOF/ACTN4/RRAS/SKI/PSMB10/VEZF1/PLEC/S100A6/TNIK/EMILIN1/MACF1/HNF4A/VASP/BMERB1/ZFAND5/ATRX/CUL3/CRIP1/DNM2/PIM1/THRA/NBEAL2/STAT3/ROGDI/RTN4/MTCH2/NCL/GPI/CD44/DIO3/EIF4G2/POLD4/RAB21/NSD2/PBX1/PDCD4/WASL/POU5F1/EHD1/PTK2B/SMAD4/FERMT3/ACTR2/ZIC3/STAT1/MYH9/SH3KBP1/STK4/DNAJB6/PTBP3/PIK3CD/EPN1/NEDD8/JUN/CEMIP2/HOPX/CORO1A
GO:0003013,BP,GO:0003013,circulatory system process,45,0.548479869,1.992393544,0.000223817,0.022825039,0.022313748,87,"tags=29%, list=7%, signal=28%",LAP3/CCN2/SLC7A2/ACTA2/SOD2/ATP1B1/CXADR/GSN/NR2F2/FLNA/HCN4/ATP1A1/PLEC
GO:0001775,BP,GO:0001775,cell activation,150,-0.456442007,-1.81536262,0.00027789,0.026315173,0.025725702,165,"tags=21%, list=13%, signal=21%",IKZF3/FOXP1/IL7R/RPS3/CD74/TRBC1/BST2/PRF1/CCL5/ZFP36L1/RBPJ/HLA-DPB1/FYN/KLRK1/TOX/ID2/CST7/CD8A/B2M/CTSC/BTN3A1/ITGAL/LAG3/HLA-DPA1/HSPD1/HLA-DRB1/THBS1/HLA-DQB1/IL2RB/IGHG3/IGHG4/IGHG1
GO:0006952,BP,GO:0006952,defense response,191,-0.427883675,-1.762898365,0.000360011,0.032916184,0.032178848,145,"tags=20%, list=11%, signal=21%",CD74/TRBC1/BST2/CD96/PYHIN1/PRF1/TRIM51/COTL1/CCL5/RBPJ/CYLD/CARD8/TUBB/B4GALT1/HLA-DPB1/FYN/ADAR/KLRK1/NONO/CST7/CXCR6/CTSC/SERPINF1/GSDMD/JAK1/NFATC3/ALOX5AP/PTPN1/ITGAL/LSP1/SLA/LAG3/HLA-DPA1/HLA-DRB1/ILF3/THBS1/IGHG3/IGHG4/IGHG1
GO:0002064,BP,GO:0002064,epithelial cell development,20,0.652504421,1.957339514,0.000611146,0.046969638,0.045917498,132,"tags=40%, list=10%, signal=37%",LAP3/ACTA2/MYADM/VEZF1/PLEC/VIM/HNF4A/ATRX
GO:0001788,BP,GO:0001788,antibody-dependent cellular cytotoxicity,3,-0.979764164,-1.666634972,0.000609882,0.046969638,0.045917498,2,"tags=67%, list=0%, signal=67%",HLA-E/IGHG1
GO:0002524,BP,GO:0002524,hypersensitivity,3,-0.979764164,-1.666634972,0.000609882,0.046969638,0.045917498,2,"tags=67%, list=0%, signal=67%",HLA-E/IGHG1
GO:0048147,BP,GO:0048147,negative regulation of fibroblast proliferation,7,0.846578188,1.885939597,0.000722745,0.053981956,0.052772737,78,"tags=57%, list=6%, signal=54%",SOD2/GSTP1/CDC73/SKI
GO:0048144,BP,GO:0048144,fibroblast proliferation,15,0.698712414,1.941531113,0.001003643,0.071923215,0.070312105,96,"tags=40%, list=7%, signal=37%",FN1/SOD2/GSTP1/CDC73/SKI/S100A6
GO:0048869,BP,GO:0048869,cellular developmental process,360,0.291854785,1.440318976,0.001123252,0.078376411,0.076620746,281,"tags=28%, list=22%, signal=30%",CXCL9/KRT8/LAP3/TYMP/CCN2/FN1/PTBP1/ACTA2/SOD2/CXADR/CRABP2/JUNB/ETV3/NR2F2/HUWE1/RPS6KA1/MYL9/CDC73/FLNA/MYADM/HSPE1/PRDX2/ANXA2/LMNA/IST1/PNP/RAB35/ACTN4/SF3A2/RRAS/SKI/VEZF1/PLEC/THEMIS/OSBPL8/TPM4/NFKBIA/S100A6/TNIK/H4C13/BLOC1S1/MACF1/VIM/LGALS1/SPOCK2/HNF4A/VASP/BMERB1/CSK/ATRX/CUL3/BTG2/IRF2BP2/DNM2/PIM1/THRA/JAK3/BTBD6/NBEAL2/NOTCH2NLA/STAT3/XRCC6/MANF/IRF1/SP7/ROGDI/RTN4/TMEM30A/MTCH2/GPS2/CD44/DIO3/LCE1D/EIF4G2/POLD4/RAB21/PBX1/PDCD4/FLOT2/WASL/POU5F1/EHD1/PTK2B/LDLRAD4/SMAD4/ITM2C/FERMT3/ACTR2/ZIC3/STAT1/PUM1/MYH9/PRAMEF6/STK4/DNAJB6/PTBP3/RAPGEF1/PIK3CD/S100A4
GO:0035296,BP,GO:0035296,regulation of tube diameter,3,0.955403313,1.644604743,0.001190905,0.078942132,0.077173794,17,"tags=67%, list=1%, signal=66%",ACTA2/SOD2
GO:0097746,BP,GO:0097746,blood vessel diameter maintenance,3,0.955403313,1.644604743,0.001190905,0.078942132,0.077173794,17,"tags=67%, list=1%, signal=66%",ACTA2/SOD2
GO:0086019,BP,GO:0086019,cell-cell signaling involved in cardiac conduction,3,0.955315871,1.644454221,0.001190905,0.078942132,0.077173794,61,"tags=100%, list=5%, signal=96%",CXADR/FLNA/HCN4
GO:0001909,BP,GO:0001909,leukocyte mediated cytotoxicity,24,-0.724425039,-2.124414856,0.001420904,0.09302534,0.090941533,201,"tags=46%, list=15%, signal=39%",PTPRC/KLRC2/IL7R/PRF1/TUBB/KLRK1/B2M/CTSC/LAG3/HLA-DRB1/IGHG1
GO:0003073,BP,GO:0003073,regulation of systemic arterial blood pressure,4,0.922474388,1.738924764,0.001681459,0.10490325,0.102553373,28,"tags=50%, list=2%, signal=49%",SOD2/NR2F2
GO:0001906,BP,GO:0001906,cell killing,31,-0.664635502,-2.056670047,0.003554502,0.201242189,0.196734278,201,"tags=35%, list=15%, signal=31%",PTPRC/KLRC2/IL7R/PRF1/TUBB/KLRK1/B2M/CTSC/LAG3/HLA-DRB1/IGHG1
GO:0001893,BP,GO:0001893,maternal placenta development,5,0.872152163,1.759733812,0.003832963,0.211731306,0.206988434,28,"tags=40%, list=2%, signal=39%",JUNB/NR2F2
GO:0060135,BP,GO:0060135,maternal process involved in female pregnancy,5,0.872152163,1.759733812,0.003832963,0.211731306,0.206988434,28,"tags=40%, list=2%, signal=39%",JUNB/NR2F2
GO:0045103,BP,GO:0045103,intermediate filament-based process,6,0.842970755,1.795667932,0.003996803,0.214091353,0.209295615,112,"tags=67%, list=9%, signal=61%",KRT8/PLEC/MACF1/VIM
GO:0045104,BP,GO:0045104,intermediate filament cytoskeleton organization,6,0.842970755,1.795667932,0.003996803,0.214091353,0.209295615,112,"tags=67%, list=9%, signal=61%",KRT8/PLEC/MACF1/VIM
GO:0002399,BP,GO:0002399,MHC class II protein complex assembly,5,-0.923611111,-1.828830055,0.004162537,0.216411123,0.211563421,105,"tags=100%, list=8%, signal=92%",B2M/HLA-DPA1/HLA-DRB1/HLA-DQB1
GO:0002503,BP,GO:0002503,peptide antigen assembly with MHC class II protein complex,5,-0.923611111,-1.828830055,0.004162537,0.216411123,0.211563421,105,"tags=100%, list=8%, signal=92%",B2M/HLA-DPA1/HLA-DRB1/HLA-DQB1
GO:1990573,BP,GO:1990573,potassium ion import across plasma membrane,3,0.937596302,1.613952247,0.004233018,0.217938757,0.213056836,84,"tags=100%, list=6%, signal=94%",ATP1B1/HCN4/ATP1A1
GO:0002181,BP,GO:0002181,cytoplasmic translation,87,-0.497916551,-1.821346904,0.004679019,0.238584993,0.233240586,554,"tags=72%, list=43%, signal=45%",EIF4H/RPL7/RPL37A/RPL28/RPLP0/RPL21/RPL38/RPL37/RPL23/RPL10A/RPSA/RPL8/RPS15/RPL6/RPL41/RPL18A/RPS7/RPS26/EIF5/RPS4X/RPS6/RPS27/PABPC1/EIF3A/RPS18/RPS25/RPS19/CNBP/RPL5/RPL22/RPL27/RPL12/RPS12/UBA52/RPL30/RPS3A/RPL29/RPL26/RPL35/RPS24/RPL24/RPS23/RPL39/RPS5/RPS27A/RPS20/RPS8/RPLP2/RPL31/RPL9/HNRNPD/RPS29/RPS15A/RPL36A/RPS3/RPL27A/RPS28/RPL13/RPL11/RPS11/RPL18/RPS14/RPS2
GO:0040011,BP,GO:0040011,locomotion,178,0.327349872,1.492532394,0.004792715,0.242054934,0.236632799,317,"tags=32%, list=24%, signal=28%",CXCL9/LAP3/TYMP/CCN2/FN1/ACTA2/SOD2/CXADR/NR2F2/FLNA/MYADM/LAMTOR2/LMNA/RHOF/ACTN4/RRAS/SKI/ATP1A1/PLEC/OSBPL8/EMILIN1/MACF1/PGAM4/SPOCK2/VASP/MAZ/BMERB1/ZFAND5/PLP2/CUL3/GOLPH3/STAT3/DDRGK1/IL27RA/S100A11/RTN4/GPI/MAPRE1/CD44/WASL/SSTR4/PTK2B/LDLRAD4/SMAD4/FERMT3/MYH9/SH3KBP1/STK4/PIK3CD/JUN/CORO1A/YWHAE/MTA2/EP300/CSNK2B/BIN2/SGPL1
GO:0006220,BP,GO:0006220,pyrimidine nucleotide metabolic process,3,0.932108125,1.604505052,0.005240879,0.257336857,0.251572401,5,"tags=33%, list=0%, signal=33%",TYMP
GO:0009264,BP,GO:0009264,deoxyribonucleotide catabolic process,3,0.927049772,1.595797744,0.005845596,0.274945116,0.268786228,70,"tags=67%, list=5%, signal=63%",TYMP/PNP
GO:0046386,BP,GO:0046386,deoxyribose phosphate catabolic process,3,0.927049772,1.595797744,0.005845596,0.274945116,0.268786228,70,"tags=67%, list=5%, signal=63%",TYMP/PNP
GO:0044419,BP,GO:0044419,biological process involved in interspecies interaction between organisms,205,-0.382102709,-1.592099862,0.005858721,0.274945116,0.268786228,201,"tags=22%, list=15%, signal=22%",PTPRC/TNFAIP3/TRAC/KLRC2/RPS15A/ATAD3A/BAK1/IKZF3/FOXP1/IL7R/CD74/TRBC1/BST2/CD96/PYHIN1/PRF1/TRIM51/COTL1/CCL5/RBPJ/CYLD/CARD8/TUBB/IL10RA/HLA-DPB1/FYN/ADAR/KLRK1/NONO/HNRNPUL1/RPS6KA3/B2M/GSDMD/JAK1/PTPN1/SLA/LAG3/STMN1/HLA-DPA1/HSPD1/HLA-DRB1/ILF3/IGHG3/IGHG4/IGHG1
GO:0045933,BP,GO:0045933,positive regulation of muscle contraction,3,0.918095791,1.580384609,0.006853457,0.307999002,0.301099693,84,"tags=67%, list=6%, signal=63%",CCN2/ATP1A1
GO:0048584,BP,GO:0048584,positive regulation of response to stimulus,233,-0.357523861,-1.51919702,0.008685677,0.351604154,0.343728071,164,"tags=18%, list=13%, signal=19%",FOXP1/IL7R/RPS3/CFLAR/CD74/TRBC1/NUMA1/BST2/PYHIN1/CCL5/RBPJ/EPC1/HINT1/CYLD/ERP29/UBE2V1/IL10RA/PCNA/HLA-DPB1/FYN/KLRK1/FABP5/NONO/PPP1CA/PDIA3/CD8A/B2M/CTSC/SEMA4D/BTN3A1/ALOX5AP/CD247/PTPN1/LAG3/HSPD1/HLA-DRB1/BCL2L11/THBS1/HLA-DQB1/IGHG3/IGHG4/IGHG1
GO:0051650,BP,GO:0051650,establishment of vesicle localization,16,0.628006992,1.774021503,0.009087237,0.365072881,0.356895092,380,"tags=62%, list=29%, signal=45%",ACTN4/DYNC1H1/BLOC1S1/CUL3/DNM2/MYO1F/WASL/AP3B1/RAB11B/ITGA4
GO:0071222,BP,GO:0071222,cellular response to lipopolysaccharide,26,0.543547867,1.734530914,0.009580838,0.379158102,0.370664798,112,"tags=27%, list=9%, signal=25%",CXCL9/SIGIRR/GSTP1/CDC73/PRDX2/NFKBIA/VIM
GO:0010765,BP,GO:0010765,positive regulation of sodium ion transport,5,0.842136487,1.699171445,0.009885011,0.379189225,0.370695223,138,"tags=60%, list=11%, signal=54%",ATP1B1/ACTN4/DNM2
GO:0051496,BP,GO:0051496,positive regulation of stress fiber assembly,5,0.842031753,1.698960123,0.009885011,0.379189225,0.370695223,6,"tags=20%, list=0%, signal=20%",CCN2
GO:1901741,BP,GO:1901741,positive regulation of myoblast fusion,4,0.875938511,1.651201581,0.009939148,0.379189225,0.370695223,1,"tags=25%, list=0%, signal=25%",CXCL9
GO:0035637,BP,GO:0035637,multicellular organismal signaling,18,0.599411715,1.744468403,0.010528447,0.395974147,0.387104156,87,"tags=39%, list=7%, signal=37%",TYMP/ATP1B1/CXADR/FLNA/HCN4/ATP1A1/PLEC
GO:0032781,BP,GO:0032781,positive regulation of ATP-dependent activity,6,0.796104804,1.69583566,0.011191047,0.40563488,0.396548485,166,"tags=67%, list=13%, signal=58%",ATP1B1/DNM2/CHTOP/SUMO1
GO:0010811,BP,GO:0010811,positive regulation of cell-substrate adhesion,19,0.584456626,1.726125991,0.011885576,0.422513207,0.41304873,267,"tags=53%, list=21%, signal=42%",FN1/FLNA/MYADM/RRAS/EMILIN1/SPOCK2/DNM2/POLD4/PTK2B/STK4
GO:0070527,BP,GO:0070527,platelet aggregation,12,0.661339077,1.717590367,0.012308313,0.425331535,0.415803926,263,"tags=67%, list=20%, signal=54%",FN1/MYL9/FLNA/MYL12A/GNAS/TLN1/FERMT3/MYH9
GO:0048870,BP,GO:0048870,cell motility,169,0.315141246,1.424717335,0.013358779,0.434611062,0.424875588,317,"tags=31%, list=24%, signal=27%",CXCL9/LAP3/CCN2/FN1/ACTA2/SOD2/CXADR/NR2F2/FLNA/MYADM/LAMTOR2/LMNA/RHOF/ACTN4/RRAS/SKI/ATP1A1/PLEC/OSBPL8/EMILIN1/MACF1/PGAM4/SPOCK2/MAZ/BMERB1/ZFAND5/CUL3/GOLPH3/STAT3/DDRGK1/IL27RA/S100A11/RTN4/GPI/MAPRE1/CD44/WASL/SSTR4/PTK2B/LDLRAD4/FERMT3/MYH9/SH3KBP1/STK4/PIK3CD/JUN/CORO1A/YWHAE/MTA2/CSNK2B/BIN2/SGPL1
GO:0051674,BP,GO:0051674,localization of cell,169,0.315141246,1.424717335,0.013358779,0.434611062,0.424875588,317,"tags=31%, list=24%, signal=27%",CXCL9/LAP3/CCN2/FN1/ACTA2/SOD2/CXADR/NR2F2/FLNA/MYADM/LAMTOR2/LMNA/RHOF/ACTN4/RRAS/SKI/ATP1A1/PLEC/OSBPL8/EMILIN1/MACF1/PGAM4/SPOCK2/MAZ/BMERB1/ZFAND5/CUL3/GOLPH3/STAT3/DDRGK1/IL27RA/S100A11/RTN4/GPI/MAPRE1/CD44/WASL/SSTR4/PTK2B/LDLRAD4/FERMT3/MYH9/SH3KBP1/STK4/PIK3CD/JUN/CORO1A/YWHAE/MTA2/CSNK2B/BIN2/SGPL1
GO:0045597,BP,GO:0045597,positive regulation of cell differentiation,90,0.367760173,1.513614979,0.013916069,0.447254014,0.437235333,192,"tags=23%, list=15%, signal=21%",CXCL9/LAP3/CCN2/FN1/SOD2/CRABP2/JUNB/RPS6KA1/FLNA/MYADM/IST1/PNP/RRAS/VEZF1/MACF1/DNM2/PIM1/STAT3/XRCC6/SP7/MTCH2
GO:0006814,BP,GO:0006814,sodium ion transport,15,0.616530864,1.713171012,0.014676317,0.457814754,0.447559508,138,"tags=33%, list=11%, signal=30%",ATP1B1/HCN4/ACTN4/ATP1A1/DNM2
GO:1904064,BP,GO:1904064,positive regulation of cation transmembrane transport,13,0.641255092,1.705140225,0.014768359,0.457991868,0.447732653,166,"tags=46%, list=13%, signal=41%",CXCL9/ATP1B1/FLNA/ACTN4/DNM2/SUMO1
GO:0060560,BP,GO:0060560,developmental growth involved in morphogenesis,24,0.532714919,1.665762962,0.014982022,0.461087982,0.450759413,221,"tags=38%, list=17%, signal=32%",LAP3/FN1/CRABP2/IST1/MACF1/DNM2/RTN4/EIF4G2/RAB21
GO:0055078,BP,GO:0055078,sodium ion homeostasis,5,0.817103035,1.648661666,0.015937059,0.482938413,0.472120386,84,"tags=40%, list=6%, signal=38%",ATP1B1/ATP1A1
GO:0061387,BP,GO:0061387,regulation of extent of cell growth,11,0.666943587,1.686082926,0.017128874,0.493753977,0.482693676,221,"tags=73%, list=17%, signal=61%",FN1/CRABP2/IST1/MACF1/DNM2/RTN4/EIF4G2/RAB21
GO:0002842,BP,GO:0002842,positive regulation of T cell mediated immune response to tumor cell,3,-0.922187982,-1.568694587,0.017842982,0.493753977,0.482693676,105,"tags=100%, list=8%, signal=92%",HSPD1/HLA-DRB1
GO:0055006,BP,GO:0055006,cardiac cell development,7,0.74459571,1.658751139,0.019748654,0.517905486,0.506304181,250,"tags=71%, list=19%, signal=58%",CXADR/LMNA/PLEC/PDCD4/SMAD4
GO:0001895,BP,GO:0001895,retina homeostasis,3,-0.917717795,-1.561090544,0.019825535,0.517905486,0.506304181,62,"tags=67%, list=5%, signal=64%",B2M/IGHG3
GO:1901566,BP,GO:1901566,organonitrogen compound biosynthetic process,206,-0.349704673,-1.460227655,0.019673224,0.517905486,0.506304181,456,"tags=48%, list=35%, signal=37%",DDOST/NFE2L1/RPS7/PGD/SESN2/RPS26/RPL36AL/CNOT1/EIF5/RPS4X/EIF3L/ATP5MC2/ATP5F1C/RPS6/NPM1/ATP5PB/EIF3K/ITM2B/RPS27/ATP5PF/PABPC1/EIF3A/CERS2/TGFB1/RPS18/RPS25/CLTC/RPS19/TARDBP/CNBP/RPL5/RPS27L/ATP6V0C/RPL22/RPL27/ATP5MG/NUS1/RPL12/RPS12/UBA52/KHSRP/RPL30/RACK1/RPS3A/CALR/PARK7/VCP/RPL29/RPL26/RPL35/ATP5F1B/KRTCAP2/PAIP2/RPS24/EIF5A/RPL24/RPS23/RPL39/RPS5/RPS27A/RPS20/RPS8/RPLP2/RPL31/RPL9/HNRNPD/RPS29/RPS15A/RPL36A/GLS/RPS3/OST4/AZIN1/RPN2/MRPL41/CCL5/ZFP36L1/OAZ1/RPL27A/B4GALT1/RPS28/FABP5/RPL13/RPL11/RPS11/RPL18/ATP5MF/HEXA/PPP1CA/RPS6KA3/RPS14/RPN1/RPS2/SLA/ATP5PO/ILF3/EEF1B2/THBS1
GO:0070252,BP,GO:0070252,actin-mediated cell contraction,12,0.635298006,1.649958054,0.021388216,0.535008071,0.523023661,205,"tags=58%, list=16%, signal=50%",ACTA2/GSN/FLNA/HCN4/ATP1A1/SUMO1/MYL6
GO:0007005,BP,GO:0007005,mitochondrion organization,57,0.400545296,1.517647734,0.021998355,0.541511805,0.529381708,353,"tags=49%, list=27%, signal=37%",TNFSF10/TYMP/SOD2/CXADR/HUWE1/HSPA4/LMNA/POLG/OPTN/PLEC/TTC19/PIM1/GOLPH3/MTCH2/POLD4/SLC25A6/NDUFB10/HIGD2A/ROMO1/MICOS10/CDC37/TMEM126B/EP300/GABARAPL1/ATP5IF1/GZMB/NDUFA3/AP3B1
GO:0086013,BP,GO:0086013,membrane repolarization during cardiac muscle cell action potential,4,0.838467789,1.580566812,0.022920892,0.542959928,0.530797393,84,"tags=75%, list=6%, signal=70%",ATP1B1/FLNA/ATP1A1
GO:0072359,BP,GO:0072359,circulatory system development,112,0.334871905,1.428399435,0.022934758,0.542959928,0.530797393,290,"tags=34%, list=22%, signal=29%",LAP3/TYMP/CCN2/FN1/ACTA2/SOD2/CXADR/JUNB/NR2F2/FLNA/MBD3/ANXA2/LMNA/HCN4/RRAS/VEZF1/PLEC/EMILIN1/ZFAND5/CRIP1/PIM1/STAT3/RTN4/NCL/EIF4G2/NSD2/PDCD4/PTK2B/SMAD4/ZIC3/STAT1/MYH9/STK4/PIK3CD/EPN1/JUN/CEMIP2/HOPX
GO:0032008,BP,GO:0032008,positive regulation of TOR signaling,4,0.836934269,1.577676025,0.023326572,0.545059111,0.532849553,161,"tags=75%, list=12%, signal=66%",CLEC16A/LAMTOR2/GOLPH3
GO:0035470,BP,GO:0035470,positive regulation of vascular wound healing,3,0.882868322,1.519745023,0.023785527,0.55322215,0.540829737,4,"tags=33%, list=0%, signal=33%",LAP3
GO:0006383,BP,GO:0006383,transcription by RNA polymerase III,4,-0.870726999,-1.613952903,0.024433498,0.562998981,0.550387562,66,"tags=75%, list=5%, signal=71%",SMARCA5/SF3B1/DEK
GO:0032990,BP,GO:0032990,cell part morphogenesis,53,0.403617182,1.510402728,0.024549918,0.562998981,0.550387562,255,"tags=34%, list=20%, signal=28%",LAP3/FN1/CRABP2/IST1/PLEC/S100A6/TNIK/MACF1/VASP/DNM2/RTN4/CD44/EIF4G2/POLD4/RAB21/WASL/SMAD4/ACTR2
GO:0048714,BP,GO:0048714,positive regulation of oligodendrocyte differentiation,3,0.880317183,1.515353562,0.024994961,0.566445626,0.553757001,4,"tags=33%, list=0%, signal=33%",LAP3
GO:0071801,BP,GO:0071801,regulation of podosome assembly,3,0.878468869,1.512171926,0.025398105,0.570704034,0.557920019,26,"tags=33%, list=2%, signal=33%",GSN
GO:0050922,BP,GO:0050922,negative regulation of chemotaxis,5,-0.851175234,-1.68540074,0.026362735,0.583929296,0.570849029,98,"tags=60%, list=8%, signal=56%",KLRK1/SEMA4D/THBS1
GO:0086001,BP,GO:0086001,cardiac muscle cell action potential,10,0.669094575,1.648812181,0.026480695,0.583929296,0.570849029,84,"tags=50%, list=6%, signal=47%",ATP1B1/CXADR/FLNA/HCN4/ATP1A1
GO:0006801,BP,GO:0006801,superoxide metabolic process,8,0.704952519,1.627007644,0.026448617,0.583929296,0.570849029,49,"tags=38%, list=4%, signal=36%",SOD2/GSTP1/PRDX2
GO:0032964,BP,GO:0032964,collagen biosynthetic process,4,0.829588449,1.563828672,0.026977688,0.583929296,0.570849029,112,"tags=75%, list=9%, signal=69%",CCN2/EMILIN1/VIM
GO:0032965,BP,GO:0032965,regulation of collagen biosynthetic process,4,0.829588449,1.563828672,0.026977688,0.583929296,0.570849029,112,"tags=75%, list=9%, signal=69%",CCN2/EMILIN1/VIM
GO:0071481,BP,GO:0071481,cellular response to X-ray,4,0.827293755,1.559503023,0.028600406,0.606671805,0.593082097,228,"tags=100%, list=18%, signal=83%",TP53BP1/DNM2/XRCC6/NUCKS1
GO:0071216,BP,GO:0071216,cellular response to biotic stimulus,29,0.480942845,1.574619256,0.02892728,0.608735579,0.595099641,112,"tags=24%, list=9%, signal=23%",CXCL9/SIGIRR/GSTP1/CDC73/PRDX2/NFKBIA/VIM
GO:0043279,BP,GO:0043279,response to alkaloid,9,0.67407145,1.609911689,0.030940344,0.635953968,0.621708326,240,"tags=44%, list=18%, signal=36%",LAP3/DNM2/GPI/PTK2B
GO:0051648,BP,GO:0051648,vesicle localization,17,0.560103785,1.607872647,0.03141994,0.635953968,0.621708326,380,"tags=59%, list=29%, signal=42%",ACTN4/DYNC1H1/BLOC1S1/CUL3/DNM2/MYO1F/WASL/AP3B1/RAB11B/ITGA4
